Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C1,C_Disc_D5.1mm_W3.2mm_P5.00mm,,1
10uF,C2,C_Disc_D5.1mm_W3.2mm_P5.00mm,,1
RotaryEncoder_Switch,SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,,1
Conn_01x02_Socket,J6,PinHeader_1x02_P2.54mm_Vertical,,1
~,U2,LCD_screen,,1
ESP32-S3-DEVKITC-1-N8R2,U1,XCVR_ESP32-S3-DEVKITC-1-N8R2,,1
1k,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
2k,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
0.1uF,C3,C_Disc_D5.1mm_W3.2mm_P5.00mm,,1
1N4001,D1,D_A-405_P7.62mm_Horizontal,,1
Screw_Terminal_01x02,J1,TerminalBlock_bornier-2_P5.08mm,,1
G5Q-1,K1,Relay_SPDT_Omron-G5Q-1,,1
Screw_Terminal_01x02,J3,TerminalBlock_bornier-2_P5.08mm,,1
IRF540N,Q2,TO-220-3_Vertical,,1
G5Q-1,K2,Relay_SPDT_Omron-G5Q-1,,1
~,AUX1,Jack_3.5mm_CUI_SJ1-3535NG_Horizontal,,1
1.5k,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
Screw_Terminal_01x02,J4,TerminalBlock_bornier-2_P5.08mm,,1
330,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
IRF540N,Q1,TO-220-3_Vertical,,1
10k,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
10k,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
0.1uF,C4,C_Disc_D5.1mm_W3.2mm_P5.00mm,,1
IRF540N,Q3,TO-220-3_Vertical,,1
10k,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
~,AUX2,Jack_3.5mm_CUI_SJ1-3535NG_Horizontal,,1
Screw_Terminal_01x02,J2,TerminalBlock_bornier-2_P5.08mm,,1
0.1uF,C7,C_Disc_D5.1mm_W3.2mm_P5.00mm,,1
0.1uF,C6,C_Disc_D5.1mm_W3.2mm_P5.00mm,,1
330,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
1N4001,D3,D_A-405_P7.62mm_Horizontal,,1
G5Q-1,K3,Relay_SPDT_Omron-G5Q-1,,1
10k,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
HLK-5M05,PS1,Converter_ACDC_Hi-Link_HLK-5Mxx,,1
10k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
0.1uF,C5,C_Disc_D5.1mm_W3.2mm_P5.00mm,,1
Conn_01x04_Pin,J5,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,,1
1N4001,D2,D_A-405_P7.62mm_Horizontal,,1
1.5k,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
330,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
10k,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
